Step,Loss,Learning_Rate,Elapsed_Time_Minutes
3330,0.9792,0.000185642218279853,93.21
3340,1.0163,0.00018550318800082918,93.58
3350,1.0205,0.0001853635404105741,93.82
3360,1.1079,0.00018522327651730784,94.81
3370,0.8728,0.00018508239733369995,95.44
3380,0.9659,0.0001849409038768622,95.91
3390,1.0135,0.00018479879716834134,96.27
3400,1.0151,0.0001846560782341116,96.51
3410,1.1433,0.0001845127481045673,97.47
3420,0.9087,0.00018436880781451544,98.08
3430,0.9644,0.00018422425840316828,98.54
3440,1.0221,0.0001840791009141357,98.9
3450,1.0228,0.00018393333639541782,99.14
3460,1.1154,0.00018378696589939727,100.1
3470,0.9384,0.00018363999048283183,100.74
3480,1.0124,0.00018349241120684646,101.23
3490,1.01,0.00018334422913692598,101.6
3500,1.0359,0.00018319544534290717,101.84
3520,0.9159,0.00018289607688363544,113.22
3530,1.0123,0.0001827454943797465,113.7
3540,0.9892,0.00018259431447447164,114.06
3550,1.0896,0.0001824425382592912,114.31
3560,1.1298,0.00018229016682999084,115.23
3570,0.919,0.00018213720128665344,115.85
3580,1.0211,0.0001819836427336512,116.34
3590,1.0312,0.0001818294922796378,116.71
3600,1.0731,0.00018167475103754023,116.95
3610,1.1598,0.00018151942012455084,117.9
3620,0.9412,0.00018136350066211922,118.52
3630,0.988,0.00018120699377594416,119.01
3640,1.0104,0.00018104990059596553,119.38
3650,1.0324,0.000180892222256356,119.62
3660,1.1232,0.0001807339598955131,120.57
3670,0.9193,0.00018057511465605067,121.17
3680,1.0622,0.00018041568768479088,121.64
3690,0.9819,0.00018025568013275588,122.0
3700,1.0233,0.00018009509315515938,122.25
3710,1.1185,0.00017993392791139848,123.19
3720,0.9327,0.00017977218556504513,123.8
3730,1.0261,0.00017960986728383788,124.29
3740,0.978,0.00017944697423967338,124.67
3750,1.0562,0.00017928350760859792,124.9
3760,1.1442,0.00017911946857079888,125.85
3770,0.9614,0.0001789548583105963,126.49
3780,0.9979,0.00017878967801643436,126.97
3790,1.0158,0.0001786239288808727,127.35
3800,1.0496,0.0001784576121005778,127.6
3810,1.0793,0.00017829072887631448,128.55
3820,0.9358,0.0001781232804129371,129.18
3830,1.0155,0.00017795526791938087,129.66
3840,0.9592,0.0001777866926086532,130.02
3850,1.0433,0.00017761755569782486,130.25
3860,1.1332,0.0001774478584080213,131.21
3870,0.9287,0.00017727760196441366,131.86
3880,1.0087,0.0001771067875962101,132.37
3890,0.9586,0.00017693541653664683,132.76
3900,1.01,0.00017676349002297928,133.0
3910,1.11,0.00017659100929647302,133.94
3920,0.9264,0.00017641797560239493,134.57
3930,0.9293,0.00017624439019000424,135.06
3940,0.9942,0.0001760702543125434,135.43
3950,1.0282,0.00017589556922722904,135.67
3960,1.157,0.000175720336195243,136.66
3970,0.8772,0.0001755445564817231,137.31
